"relative_path","file_name","extension","category","row_count","parse_state","columns","last_write"
"data\legislation\AI_LAW_POLICY_FAMILIES.csv","AI_LAW_POLICY_FAMILIES.csv",".csv","SOURCE_CANDIDATE","8","CSV_PARSED","policy_family;description;representative_records","2026-07-30T14:24:17"
"data\legislation\EO_14409_SECTION_INDEX.csv","EO_14409_SECTION_INDEX.csv",".csv","OTHER","12","CSV_PARSED","section_id;section;title;operative_status;primary_actor;deadline;source_anchor","2026-07-30T14:17:32"
"data\legislation\JURISDICTION_SUMMARY.csv","JURISDICTION_SUMMARY.csv",".csv","OTHER","8","CSV_PARSED","jurisdiction;enacted_or_in_force_records;policy_families;earliest_effective_date;latest_effective_date","2026-07-30T14:24:17"
"data\legislation\LEGISLATION_REGISTRY.csv","LEGISLATION_REGISTRY.csv",".csv","OTHER","2","CSV_PARSED","record_id;jurisdiction_level;jurisdiction;measure_type;measure_number;title;session_or_term;public_text_date;introduction_date;announcement_date;house_passage_date;senate_passage_date;enrollment_date;signature_date;filing_date;effective_date;compliance_date;current_status;law_or_order_number;primary_source_url;secondary_source_url;source_verified;verification_date;notes","2026-07-30T14:20:37"
"data\legislation\MAJOR_AI_LAW_TIMELINE.csv","MAJOR_AI_LAW_TIMELINE.csv",".csv","SOURCE_CANDIDATE","8","CSV_PARSED","record_id;jurisdiction;measure;title;introduction_or_issue_date;enactment_or_signature_date;effective_date;implementation_date;policy_family","2026-07-30T14:24:17"
"data\legislation\MAJOR_ENACTED_AI_LAWS.csv","MAJOR_ENACTED_AI_LAWS.csv",".csv","SOURCE_CANDIDATE","8","CSV_PARSED","record_id;jurisdiction;jurisdiction_level;measure;title;policy_family;introduction_or_issue_date;enactment_or_signature_date;effective_date;primary_compliance_or_implementation_date;current_status;regulated_actor_class;central_obligation;enforcement_model;primary_source_url;verification_status","2026-07-30T14:24:17"
"data\legislation\MN_HF_1606_TIMELINE.csv","MN_HF_1606_TIMELINE.csv",".csv","OTHER","12","CSV_PARSED","event_id;date;event_type;chamber;description;source","2026-07-30T14:20:36"
"data\legislation\SOURCE_REGISTRY.csv","SOURCE_REGISTRY.csv",".csv","SOURCE_CANDIDATE","4","CSV_PARSED","source_id;source_type;publisher;title;url;jurisdiction;coverage_start;coverage_end;update_frequency;authority_level;last_verified;notes","2026-07-30T14:07:36"
"data\requirements\EO_14409_ACTORS.csv","EO_14409_ACTORS.csv",".csv","OTHER","12","CSV_PARSED","actor_id;actor;actor_class;mandatory_duties","2026-07-30T14:17:34"
"data\requirements\EO_14409_DEADLINES.csv","EO_14409_DEADLINES.csv",".csv","OTHER","3","CSV_PARSED","deadline_id;period;normalized_date;source_date;sections;obligated_actor_class;private_company_deadline;notes","2026-07-30T14:17:33"
